# MOND N-body snapshot at t = 1.801 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 8.441846 45.392513 47.296520 -69.263 88.368 56.191 5.000e+07 1
1 21.345236 46.155763 44.441868 -80.406 22.147 48.705 5.000e+07 1
2 -5.230681 65.228994 50.398145 -127.139 235.740 38.692 5.000e+07 1
3 6.158362 47.223230 46.140814 -20.202 -56.180 8.832 5.000e+07 1
4 11.637920 44.495140 45.570068 -9.566 -91.891 -36.634 5.000e+07 1
5 4.035966 46.068622 48.906549 51.781 15.453 155.004 5.000e+07 1
6 8.672580 49.051808 49.684388 107.863 212.478 269.192 5.000e+07 1
7 11.445978 50.700197 58.819139 46.688 130.582 161.555 5.000e+07 1
8 8.661070 39.852629 46.783219 2.568 -4.632 65.799 5.000e+07 1
9 6.116892 46.371927 47.272502 -121.041 -194.068 117.464 5.000e+07 1
10 3.462754 43.803310 49.135557 -11.848 -102.137 -61.246 5.000e+07 1
11 7.980632 36.607850 46.644706 142.218 -141.865 50.233 5.000e+07 1
12 5.122246 44.390301 47.789163 -58.580 74.380 115.536 5.000e+07 1
13 3.948607 45.606005 48.757142 19.996 -198.785 -44.854 5.000e+07 1
14 13.880367 92.440529 35.968010 -0.657 135.001 -13.543 5.000e+07 1
15 5.609032 45.161418 46.652469 82.059 -150.135 63.084 5.000e+07 1
16 7.939786 46.774798 51.049813 62.956 -25.920 -39.644 5.000e+07 1
17 17.613055 43.037178 46.472719 69.201 39.877 133.382 5.000e+07 1
18 3.899849 45.933914 49.631009 18.993 143.703 -20.404 5.000e+07 1
19 3.433990 46.938499 50.461230 -10.096 -76.155 -78.153 5.000e+07 1
20 7.813422 41.924631 44.689316 13.688 -61.128 -14.065 5.000e+07 1
21 5.354578 46.988147 48.958770 81.841 -24.883 -12.617 5.000e+07 1
22 8.418543 41.954833 46.141423 60.469 -46.893 16.167 5.000e+07 1
23 7.102855 47.845807 47.086627 -260.758 24.156 -84.395 5.000e+07 1
24 4.602270 42.382254 46.730775 52.438 49.753 56.513 5.000e+07 1
25 3.643350 47.571118 46.957381 44.321 41.925 178.994 5.000e+07 1
26 15.053549 36.126645 18.628964 33.222 24.910 -27.098 5.000e+07 1
27 5.210777 45.435524 46.710215 -44.650 -29.416 71.966 5.000e+07 1
28 5.503427 44.945146 43.964891 -14.957 -69.898 169.631 5.000e+07 1
29 1.276580 45.321003 49.378120 -57.549 -89.426 -0.522 5.000e+07 1
30 3.201666 45.387546 45.686111 -132.386 -106.171 135.511 5.000e+07 1
31 8.271697 48.146184 49.648776 -15.718 -79.136 -37.329 5.000e+07 1
32 5.011470 45.728214 46.038847 -273.388 68.954 53.295 5.000e+07 1
33 6.207034 44.794258 47.326277 104.507 219.088 37.755 5.000e+07 1
34 7.946802 43.996091 44.874851 -67.467 207.217 -33.003 5.000e+07 1
35 8.397961 47.807108 46.502935 -168.223 20.864 285.591 5.000e+07 1
36 7.921312 44.057748 46.005467 14.990 -117.315 -40.640 5.000e+07 1
37 10.238562 50.164747 39.522517 -27.922 -2.771 233.360 5.000e+07 1
38 6.766947 46.876510 46.222457 -31.156 -69.842 66.967 5.000e+07 1
39 6.073679 44.268215 48.033295 254.531 104.227 160.225 5.000e+07 1
40 8.039543 44.265623 48.385042 -47.927 53.054 22.726 5.000e+07 1
41 7.035732 45.387264 50.588143 -185.615 164.810 46.315 5.000e+07 1
42 10.510489 42.356103 50.430187 -2.720 133.592 19.266 5.000e+07 1
43 -46.633774 56.327604 53.745395 202.654 4.788 11.115 5.000e+07 1
44 -18.558156 63.290778 33.051903 -94.742 109.836 5.426 5.000e+07 1
45 7.631732 50.220719 45.423866 -78.192 183.199 -31.804 5.000e+07 1
46 4.749905 44.938405 47.429087 60.023 -90.133 26.514 5.000e+07 1
47 2.236962 44.286659 48.807120 80.295 -62.364 -35.768 5.000e+07 1
48 8.290353 45.372220 45.670861 232.028 111.393 -78.993 5.000e+07 1
49 5.360809 44.963620 46.187447 20.058 25.453 208.222 5.000e+07 1
50 5.609844 46.336364 46.852412 -56.974 9.124 -83.430 5.000e+07 1
51 7.462822 46.141211 47.577164 -257.066 85.299 -58.471 5.000e+07 1
52 3.722106 47.318227 36.366835 40.101 -15.609 -23.040 5.000e+07 1
53 -112.461897 107.635666 -30.103443 -41.725 70.306 4.033 5.000e+07 1
54 7.283627 37.808079 47.969610 233.825 106.289 15.996 5.000e+07 1
55 3.372024 41.319888 48.137004 -68.791 -134.019 14.231 5.000e+07 1
56 7.176225 45.189248 46.804556 -176.725 280.793 -0.724 5.000e+07 1
57 6.460691 45.138612 47.310599 13.507 164.121 -165.190 5.000e+07 1
58 4.040419 43.184494 48.750637 36.732 -15.354 27.591 5.000e+07 1
59 5.812602 45.055556 48.454351 114.420 -75.140 61.780 5.000e+07 1
60 5.782868 43.352758 46.135017 13.956 102.323 308.991 5.000e+07 1
61 6.909395 44.562832 47.793862 12.655 97.983 289.698 5.000e+07 1
62 5.997963 45.749209 47.260605 -34.910 -18.934 122.593 5.000e+07 1
63 7.346542 47.459227 44.879651 -227.902 146.433 -2.160 5.000e+07 1
64 14.754457 46.161406 47.597688 31.006 58.590 86.671 5.000e+07 1
65 -1.605329 47.674451 42.717182 161.723 -117.698 152.970 5.000e+07 1
66 5.162165 43.849512 47.571851 233.897 85.130 -60.530 5.000e+07 1
67 -36.471318 66.271915 26.555659 95.452 -22.279 69.345 5.000e+07 1
68 -1.563445 51.756805 48.260803 -85.573 72.090 70.645 5.000e+07 1
69 4.634953 46.051305 46.889824 279.757 -195.339 32.052 5.000e+07 1
70 15.308821 42.840178 42.304790 -60.467 127.645 86.593 5.000e+07 1
71 6.242679 40.084566 40.981344 21.150 -19.286 -73.453 5.000e+07 1
72 8.008899 45.353574 45.831500 -78.785 35.705 -56.366 5.000e+07 1
73 5.814947 47.067469 48.973403 -52.984 -124.979 22.563 5.000e+07 1
74 5.693745 44.915770 47.736935 163.182 -178.798 12.597 5.000e+07 1
75 5.221788 45.787165 44.251785 -141.232 -80.039 31.291 5.000e+07 1
76 9.339497 48.990151 49.003962 -55.281 -30.856 79.148 5.000e+07 1
77 -0.655263 40.191733 49.613243 45.481 -160.314 55.957 5.000e+07 1
78 4.547496 45.337953 47.878628 -87.151 -143.919 126.194 5.000e+07 1
79 6.710373 44.351368 47.591998 225.644 163.464 159.919 5.000e+07 1
80 7.650810 44.352322 47.377835 -33.325 102.007 -82.769 5.000e+07 1
81 6.943642 45.826600 47.540772 80.422 35.057 -14.921 5.000e+07 1
82 8.438935 46.019613 47.541826 3.984 -1.280 28.796 5.000e+07 1
83 15.355078 43.612012 48.665863 94.501 75.504 -9.503 5.000e+07 1
84 5.637728 45.887921 47.202370 152.975 -212.184 -91.972 5.000e+07 1
85 -1.061612 43.324611 49.997868 7.263 -50.189 -6.885 5.000e+07 1
86 0.678742 48.757061 44.491650 26.159 -148.908 98.773 5.000e+07 1
87 11.965168 49.676973 41.637666 65.176 40.564 -101.133 5.000e+07 1
88 8.036296 43.308844 47.150748 174.255 168.560 85.197 5.000e+07 1
89 3.315481 43.841847 47.861395 -36.817 -173.644 193.116 5.000e+07 1
