# MOND N-body snapshot at t = 0.200 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 -1.165201 9.600458 2.730325 -191.715 103.341 -9.164 5.000e+07 1
1 1.111862 4.101731 3.249165 264.117 193.868 45.118 5.000e+07 1
2 -0.274374 -2.000239 7.604010 64.213 310.236 -178.104 5.000e+07 1
3 1.271234 4.917820 3.504185 64.792 223.318 132.216 5.000e+07 1
4 -0.860027 3.351162 3.084694 -197.233 188.982 47.516 5.000e+07 1
5 0.231168 3.731844 3.994111 57.655 -161.931 60.428 5.000e+07 1
6 1.182050 -5.042573 3.309801 1.124 139.258 -51.327 5.000e+07 1
7 -8.607853 -12.489080 5.991562 -32.852 -59.263 -19.404 5.000e+07 1
8 -0.658058 6.173985 3.363435 -121.340 -57.233 178.207 5.000e+07 1
9 -0.460113 3.316589 4.209324 -126.113 -56.155 199.091 5.000e+07 1
10 -3.830327 2.236680 4.182634 -123.800 -69.170 -118.520 5.000e+07 1
11 2.708750 6.436986 3.786133 -85.205 9.813 -102.962 5.000e+07 1
12 0.908351 4.602076 6.191528 -15.357 8.647 85.821 5.000e+07 1
13 -2.144755 6.018736 4.132897 -221.876 -41.256 23.959 5.000e+07 1
14 -18.647100 16.072308 8.135584 153.044 -118.066 6.844 5.000e+07 1
15 1.418146 -0.302450 5.297662 112.848 -96.893 -3.349 5.000e+07 1
16 1.080085 1.872403 5.288858 -71.920 -27.227 224.484 5.000e+07 1
17 2.017973 7.858698 -8.331273 -20.995 21.049 88.245 5.000e+07 1
18 -0.386963 3.101557 5.147806 -108.773 32.685 -97.189 5.000e+07 1
19 -0.218247 4.533852 3.940771 -29.009 -126.105 -8.946 5.000e+07 1
20 0.669096 3.810555 4.474963 -90.624 -35.452 -429.052 5.000e+07 1
21 5.945759 3.647451 7.758993 -66.137 69.635 -38.857 5.000e+07 1
22 0.434872 4.928392 3.151971 -232.188 -139.565 22.681 5.000e+07 1
23 1.669256 3.009352 4.637655 286.106 -11.910 249.657 5.000e+07 1
24 -1.197034 3.472865 3.151586 -171.321 -172.537 -9.046 5.000e+07 1
25 2.485937 5.409550 3.625834 60.303 97.748 30.232 5.000e+07 1
26 -2.437885 7.907619 14.581195 69.009 -158.629 -195.679 5.000e+07 1
27 1.422260 2.582509 4.629123 -93.492 205.639 -74.110 5.000e+07 1
