# MOND N-body snapshot at t = 0.001 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 0.308326 0.144604 0.338780 -110.548 -55.081 22.324 5.000e+07 1
1 -2.493598 -0.706909 1.634567 81.095 22.675 75.437 5.000e+07 1
2 -6.016446 -27.874512 14.787442 3.609 16.702 35.205 5.000e+07 1
3 -0.817406 -0.556921 -0.542091 -24.026 -14.700 136.132 5.000e+07 1
4 0.369780 2.239150 0.431373 -3.456 -16.919 90.795 5.000e+07 1
5 1.422804 2.115481 -0.031298 -19.124 -26.547 92.545 5.000e+07 1
6 -1.294468 -6.537233 -2.759827 -1.949 -10.354 58.920 5.000e+07 1
7 2.227462 5.896507 -15.881534 13.386 35.412 14.629 5.000e+07 1
8 1.579807 -3.244540 1.336378 -18.084 36.441 60.011 5.000e+07 1
9 0.024329 -0.690125 0.283252 3.589 121.465 64.240 5.000e+07 1
10 1.025801 -0.366183 -1.008533 58.122 -20.954 84.038 5.000e+07 1
11 -0.908497 0.985128 -0.683838 -40.683 44.140 123.562 5.000e+07 1
12 0.751284 -0.423019 0.842087 -82.701 43.488 58.650 5.000e+07 1
13 0.330232 -0.170933 0.060621 -41.738 9.132 124.374 5.000e+07 1
14 -32.087444 26.803284 3.238157 -3.369 2.816 34.808 5.000e+07 1
15 -0.401539 0.589555 -0.189173 0.658 -1.948 147.062 5.000e+07 1
16 -0.211347 -0.992800 -2.895058 -19.128 -89.784 60.257 5.000e+07 1
17 -8.679285 5.142509 10.253217 32.003 -18.961 40.896 5.000e+07 1
18 0.503985 0.241254 0.662657 -137.378 -70.058 29.948 5.000e+07 1
19 0.017900 -0.019496 0.222248 79.586 -88.205 -47.088 5.000e+07 1
20 -1.094189 5.771553 -2.359486 0.312 0.547 69.530 5.000e+07 1
21 1.065728 -2.179663 0.713955 -29.981 60.985 66.854 5.000e+07 1
22 -0.145897 -0.542132 -0.227418 -10.131 -42.077 161.852 5.000e+07 1
