# MOND N-body snapshot at t = 0.400 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 0.200870 12.974872 8.911411 -192.730 -91.841 100.385 5.000e+07 1
1 1.365764 7.439850 9.964546 -228.680 -299.313 273.939 5.000e+07 1
2 -0.478969 49.953289 -2.311572 -3.311 135.542 4.563 5.000e+07 1
3 0.909374 9.585178 7.024036 -96.844 -19.404 6.581 5.000e+07 1
4 0.115341 8.230746 10.956992 144.031 -12.108 -62.571 5.000e+07 1
5 1.013671 7.047391 9.257579 -94.012 189.625 -110.913 5.000e+07 1
6 5.231679 5.548733 2.446092 129.311 -12.785 -95.883 5.000e+07 1
7 2.584687 12.438870 16.279770 10.087 107.409 241.124 5.000e+07 1
8 3.974981 5.119523 10.436468 183.139 116.189 -29.150 5.000e+07 1
9 1.337203 8.130415 9.865930 -22.526 217.259 -32.820 5.000e+07 1
10 -1.276026 7.817423 6.550371 -99.429 -25.206 -27.231 5.000e+07 1
11 -1.822724 6.048896 9.513105 -107.484 -93.313 -146.307 5.000e+07 1
12 -0.218928 7.505054 11.901097 58.479 -58.011 168.560 5.000e+07 1
13 -6.696265 9.423421 8.866397 -89.330 -66.019 1.415 5.000e+07 1
14 33.744477 13.034450 4.964058 155.228 70.182 17.266 5.000e+07 1
15 1.025829 10.527577 7.988595 -83.732 28.072 -143.566 5.000e+07 1
16 0.663189 8.392593 10.704733 173.506 32.993 14.832 5.000e+07 1
17 1.769780 -6.674552 12.266914 5.650 90.068 -53.655 5.000e+07 1
18 0.652565 9.044585 8.195527 -15.997 30.998 116.687 5.000e+07 1
19 0.540714 7.025423 10.209796 310.596 -114.048 -45.067 5.000e+07 1
20 -2.478818 8.454699 8.584054 -149.407 47.425 157.908 5.000e+07 1
21 0.305263 5.027485 10.682654 87.034 214.262 -60.731 5.000e+07 1
22 -0.447479 7.654071 9.874008 -2.554 1.229 126.006 5.000e+07 1
23 -4.590630 7.816589 10.282711 128.247 12.266 89.766 5.000e+07 1
24 0.819257 8.785488 9.878595 -132.182 -173.761 -0.850 5.000e+07 1
25 -1.515655 10.875448 10.291267 5.285 21.122 127.822 5.000e+07 1
26 6.616919 11.103756 -20.701108 12.507 50.426 -17.448 5.000e+07 1
27 0.654454 8.215956 9.364535 -348.263 -22.346 45.748 5.000e+07 1
28 3.005888 6.750347 11.187167 -72.524 48.722 230.006 5.000e+07 1
29 -1.721710 5.953033 9.392332 56.382 -117.071 39.213 5.000e+07 1
30 0.511125 7.174326 10.802296 84.356 -52.890 351.572 5.000e+07 1
31 1.604387 4.368028 8.876226 -4.915 11.830 42.771 5.000e+07 1
32 1.605424 7.820197 10.375086 89.122 62.788 2.461 5.000e+07 1
33 2.402502 8.876760 9.814979 -86.128 251.436 85.006 5.000e+07 1
34 1.723032 8.763515 9.793178 23.044 53.129 90.215 5.000e+07 1
35 0.615737 7.632801 8.722875 -21.602 233.719 -142.066 5.000e+07 1
36 3.237546 7.933181 10.943317 -54.078 9.157 -69.719 5.000e+07 1
37 -11.713160 -5.937906 24.819110 -13.355 4.179 5.116 5.000e+07 1
38 -1.151238 5.892390 8.796509 -65.432 136.252 -77.189 5.000e+07 1
39 2.819566 4.728323 10.584035 250.390 229.093 49.953 5.000e+07 1
40 0.532389 7.669445 9.833335 -120.357 124.214 86.318 5.000e+07 1
41 2.411280 7.173856 13.186662 -129.458 67.989 160.117 5.000e+07 1
42 1.328039 10.507363 9.534037 -156.167 85.268 28.574 5.000e+07 1
43 49.518330 34.355653 23.920198 -135.765 -85.254 -24.692 5.000e+07 1
44 8.331465 27.327249 -16.821534 25.763 61.536 28.619 5.000e+07 1
45 -2.569101 5.192681 10.280454 8.381 -89.496 162.471 5.000e+07 1
46 1.431838 7.512424 9.008337 103.497 -16.235 168.389 5.000e+07 1
47 0.463580 7.072708 10.653389 204.544 80.840 -88.321 5.000e+07 1
48 0.874632 7.089469 9.371283 -84.935 -240.307 94.011 5.000e+07 1
49 0.243358 7.412839 9.157125 43.283 71.488 126.118 5.000e+07 1
50 1.556571 9.006645 9.805663 -164.107 53.205 151.839 5.000e+07 1
51 1.015385 8.177071 9.147938 -177.952 312.650 315.484 5.000e+07 1
52 3.248333 12.523843 19.265280 10.484 43.846 163.866 5.000e+07 1
53 93.409284 46.734690 90.287572 -72.045 -33.820 -43.141 5.000e+07 1
54 3.655027 10.265286 8.284059 -203.908 38.866 -16.899 5.000e+07 1
55 1.964232 7.167825 10.833858 148.223 159.715 157.186 5.000e+07 1
56 0.760574 8.994570 8.571142 -254.630 -17.847 29.372 5.000e+07 1
57 0.612683 8.306948 9.095438 129.475 -18.924 154.772 5.000e+07 1
58 3.518347 6.892376 9.389145 127.416 32.504 45.717 5.000e+07 1
59 0.766906 7.062645 9.839612 236.740 90.809 -133.100 5.000e+07 1
60 1.961033 10.065596 8.272427 -29.914 -55.541 102.147 5.000e+07 1
61 1.081676 4.214104 10.187820 144.197 143.789 53.825 5.000e+07 1
62 2.100644 9.094246 9.293447 90.905 314.111 26.176 5.000e+07 1
63 -0.776624 7.374410 8.988372 -47.051 -61.668 114.423 5.000e+07 1
64 -0.187637 12.044455 10.358179 -68.281 7.083 19.464 5.000e+07 1
65 3.874189 2.657291 8.932417 -136.420 283.778 35.063 5.000e+07 1
66 4.182415 5.708583 9.183589 208.603 134.976 -5.169 5.000e+07 1
67 7.293484 0.296574 6.859174 271.393 -205.917 -56.597 5.000e+07 1
68 -1.223686 9.433945 9.037409 -322.323 200.427 -113.732 5.000e+07 1
69 -7.177550 4.724015 7.036273 84.260 -109.299 22.773 5.000e+07 1
70 3.484922 4.201766 8.007050 -18.120 64.198 26.925 5.000e+07 1
71 4.770866 5.833520 10.836613 30.529 24.807 -32.645 5.000e+07 1
72 0.698697 8.435990 9.320160 -60.586 -12.647 -402.440 5.000e+07 1
73 -0.019792 8.484786 9.045822 -50.067 58.543 -85.876 5.000e+07 1
74 4.131014 6.077216 10.831618 61.450 234.783 38.335 5.000e+07 1
75 0.490157 7.911385 9.361482 -99.182 20.813 84.931 5.000e+07 1
76 0.418897 7.472685 9.881481 179.736 -149.375 -99.896 5.000e+07 1
77 -3.087733 7.385216 10.061273 173.207 -66.023 -35.918 5.000e+07 1
78 -0.077388 5.841207 9.564116 -166.177 -137.737 77.423 5.000e+07 1
79 1.715309 7.188166 9.626870 332.111 -76.131 -146.985 5.000e+07 1
80 1.393790 8.627450 9.161661 -32.757 218.253 -37.204 5.000e+07 1
81 0.525781 6.706590 6.979362 111.806 24.031 -6.479 5.000e+07 1
82 1.828648 7.880557 9.464692 12.619 256.102 87.994 5.000e+07 1
83 -1.494386 10.989753 7.527606 44.100 -93.912 178.477 5.000e+07 1
84 -0.615700 7.046005 9.045836 102.432 117.143 89.720 5.000e+07 1
85 0.578416 5.015104 11.042518 157.377 98.997 -105.621 5.000e+07 1
86 -10.184460 4.982492 8.591174 -43.792 -135.017 -22.544 5.000e+07 1
87 0.752046 7.041935 9.260976 -13.869 484.453 -189.330 5.000e+07 1
88 1.268944 7.958203 9.457645 -58.547 -70.748 178.766 5.000e+07 1
89 2.688697 8.223342 9.691018 300.410 145.067 -60.965 5.000e+07 1
90 5.297114 4.219875 12.343841 234.718 -101.744 112.879 5.000e+07 1
91 4.584215 10.441583 9.760961 81.195 35.171 21.607 5.000e+07 1
92 4.619338 6.673272 10.717886 84.092 208.648 70.411 5.000e+07 1
93 2.257782 7.869626 9.045214 98.550 131.007 -205.750 5.000e+07 1
94 2.054272 10.552544 8.969144 -229.777 -131.242 -56.657 5.000e+07 1
95 1.967291 7.352827 10.035050 223.426 295.928 280.283 5.000e+07 1
96 2.747429 6.184671 9.884832 4.984 -57.215 200.585 5.000e+07 1
97 4.413529 6.578127 9.433681 -230.387 128.878 -141.527 5.000e+07 1
98 0.407415 8.312967 9.672921 -66.760 -45.066 -106.186 5.000e+07 1
99 -1.126030 2.282080 8.236031 86.674 200.518 -18.451 5.000e+07 1
100 2.895840 10.735446 6.444693 2.426 178.930 7.531 5.000e+07 1
101 -1.412289 6.413953 11.491124 286.112 51.744 20.091 5.000e+07 1
102 79.677991 -373.108104 23.031561 -6.409 30.534 10.321 5.000e+07 1
103 0.099679 7.287573 9.899156 232.261 266.315 12.494 5.000e+07 1
104 0.370176 7.062275 10.146348 65.122 -177.368 -312.321 5.000e+07 1
105 6.423627 12.432388 16.875060 17.022 25.963 133.908 5.000e+07 1
106 11.687067 2.416887 6.824680 171.680 -70.644 -61.055 5.000e+07 1
107 6.527144 11.616113 10.615159 -210.046 94.025 79.248 5.000e+07 1
108 3.469692 4.801177 7.968952 201.998 -83.887 6.630 5.000e+07 1
109 -11.113338 3.282201 18.649404 -156.886 -33.380 97.383 5.000e+07 1
110 0.000660 7.925143 9.979703 -175.334 -121.327 163.193 5.000e+07 1
111 -3.609296 6.903129 10.441671 -34.908 13.817 -86.970 5.000e+07 1
112 2.682423 8.560684 8.857492 -113.162 235.827 177.424 5.000e+07 1
113 1.168516 9.007801 8.876565 -281.965 4.054 163.616 5.000e+07 1
114 -1.202257 11.173603 10.487540 78.009 79.666 22.915 5.000e+07 1
115 2.879785 9.271742 10.445540 8.222 290.733 37.709 5.000e+07 1
116 2.668555 9.236289 9.473272 -9.665 92.314 -12.643 5.000e+07 1
117 -0.976227 7.543005 7.920668 -151.837 -97.051 67.793 5.000e+07 1
118 0.745375 9.115090 11.405017 0.458 78.129 205.378 5.000e+07 1
119 1.019963 10.161223 8.704607 -117.600 -12.991 1.642 5.000e+07 1
120 0.391905 8.405246 8.426550 -221.583 -13.809 -7.888 5.000e+07 1
121 3.346251 9.588488 11.922535 -76.578 82.919 62.143 5.000e+07 1
122 2.261734 16.111522 8.801733 -28.285 -259.986 110.634 5.000e+07 1
123 -168.028041 -128.201902 -313.115299 8.720 6.883 34.174 5.000e+07 1
124 0.878861 6.064214 9.262999 64.283 -81.679 -48.894 5.000e+07 1
125 0.345946 8.222454 9.798467 99.086 -85.033 -71.306 5.000e+07 1
126 -5.144166 12.211450 7.694798 -69.653 -135.121 61.778 5.000e+07 1
127 -7.445744 4.260326 14.101455 56.444 28.059 -3.358 5.000e+07 1
128 0.565001 8.754993 8.913437 -162.553 96.006 -194.656 5.000e+07 1
129 1.669755 7.622718 10.366403 173.347 14.710 226.241 5.000e+07 1
130 2.669323 6.267797 9.509032 4.487 -224.353 -6.514 5.000e+07 1
131 4.508134 8.811433 9.809963 -68.442 255.472 65.605 5.000e+07 1
