# MOND N-body snapshot at t = 1.201 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 -3.115852 21.746189 28.524120 -38.355 -214.630 -119.044 5.000e+07 1
1 3.663837 20.785777 30.986536 155.302 1.268 -10.176 5.000e+07 1
2 -3.747975 22.686529 27.907735 276.856 -21.732 109.995 5.000e+07 1
3 -2.618734 20.287420 28.465572 85.180 -83.199 -98.342 5.000e+07 1
4 -2.285745 22.388892 27.573573 -188.331 -28.132 69.769 5.000e+07 1
5 -3.705313 22.001093 29.513833 -70.587 118.556 119.728 5.000e+07 1
6 1.274153 19.737563 25.383771 170.585 163.236 47.600 5.000e+07 1
7 -11.029088 30.114412 22.991947 -151.689 58.641 2.890 5.000e+07 1
8 -8.787356 24.767571 24.551577 -274.446 -19.749 -145.409 5.000e+07 1
9 -0.168752 23.725297 27.467429 178.226 249.810 161.154 5.000e+07 1
10 -12.325519 22.660521 31.632709 -4.754 -93.665 -7.808 5.000e+07 1
11 -3.933355 19.475256 27.442056 17.082 233.285 46.207 5.000e+07 1
12 -4.170028 25.071636 26.387867 -95.372 -58.600 56.580 5.000e+07 1
13 -3.596453 23.159773 27.640109 -125.033 -123.568 73.991 5.000e+07 1
14 -10.858708 30.017972 30.525035 -173.329 -98.665 32.360 5.000e+07 1
15 -3.356738 15.708245 26.566809 140.577 -82.368 -13.849 5.000e+07 1
16 -0.290909 17.477836 29.128884 19.289 131.153 98.918 5.000e+07 1
17 -1.393580 23.406910 27.137045 78.553 180.423 -135.179 5.000e+07 1
18 -0.867059 24.107906 27.290158 -88.718 62.672 -10.798 5.000e+07 1
19 0.304796 21.133312 26.825608 17.823 -16.193 74.607 5.000e+07 1
20 -2.913311 23.603562 28.640539 7.620 -5.710 -109.171 5.000e+07 1
21 -4.174367 23.013620 28.746841 26.650 107.741 94.290 5.000e+07 1
22 -2.662277 19.319357 30.232030 124.161 145.797 -175.605 5.000e+07 1
23 0.879691 19.061433 27.312759 -42.549 168.619 1.538 5.000e+07 1
24 -2.756390 19.660005 27.684341 59.093 -66.744 -113.131 5.000e+07 1
25 -2.670268 24.758181 27.470315 2.350 41.585 7.845 5.000e+07 1
26 -0.091021 22.764168 27.910219 19.298 149.993 -81.106 5.000e+07 1
27 -5.476653 28.242736 27.806006 -89.173 239.504 -100.978 5.000e+07 1
28 -6.867289 18.224497 29.334862 -31.618 -172.623 152.632 5.000e+07 1
29 -0.088100 14.987019 28.243397 159.158 -72.062 -13.387 5.000e+07 1
30 -3.642780 22.506026 28.607689 -0.679 -11.537 133.202 5.000e+07 1
31 -4.350594 20.429814 27.690900 -51.389 -253.003 -100.163 5.000e+07 1
32 -2.353709 22.749154 28.711628 188.806 248.088 -107.068 5.000e+07 1
33 0.115395 24.178007 28.243639 -148.912 23.455 128.503 5.000e+07 1
34 -3.101915 21.579078 28.147544 235.694 -32.565 67.193 5.000e+07 1
35 -2.907390 22.676291 27.130792 126.739 369.123 195.971 5.000e+07 1
36 -5.339756 23.941633 26.031110 244.811 -133.564 -24.744 5.000e+07 1
37 -2.916690 21.971689 28.804569 263.326 -264.326 -11.330 5.000e+07 1
38 -7.577411 26.053551 27.584880 39.985 -11.122 -88.882 5.000e+07 1
39 -0.070571 20.746688 30.113673 62.325 132.240 107.070 5.000e+07 1
40 -2.296562 23.042429 28.318344 -4.313 205.216 -203.013 5.000e+07 1
41 -3.580209 23.733590 32.019985 -178.471 80.069 -191.196 5.000e+07 1
42 -6.229709 24.767854 29.342861 -57.429 -127.021 3.532 5.000e+07 1
43 4.811443 21.167718 30.185717 -76.115 45.437 -59.220 5.000e+07 1
44 -3.347633 24.930396 35.009300 -74.123 -35.158 264.626 5.000e+07 1
45 2.230545 22.121409 28.792471 -60.131 2.194 -4.459 5.000e+07 1
46 -7.369553 23.477459 28.456437 -126.255 -40.501 186.936 5.000e+07 1
47 -2.597951 24.841591 29.755042 79.875 7.925 100.994 5.000e+07 1
