# MOND N-body snapshot at t = 1.601 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 -17.753131 -14.376007 34.796341 -100.775 254.822 -16.975 5.000e+07 1
1 -15.458700 -12.628640 35.116766 -98.007 72.740 76.829 5.000e+07 1
2 -21.537302 -10.755791 39.163913 90.403 -114.310 -125.676 5.000e+07 1
3 -26.422223 -12.333956 39.131183 113.365 -49.314 39.578 5.000e+07 1
4 -17.735114 -12.923172 36.981481 51.354 -251.545 51.525 5.000e+07 1
5 -20.007640 -17.095319 42.519709 3.350 65.322 -159.099 5.000e+07 1
6 -23.565061 -16.613822 33.391406 90.139 -3.718 -28.853 5.000e+07 1
7 -18.348526 -21.277151 38.825523 103.228 -9.955 -33.375 5.000e+07 1
8 -41.493292 -37.400068 58.674499 -118.353 -66.391 96.804 5.000e+07 1
9 -56.314378 -38.111924 32.332849 -13.775 -24.845 8.457 5.000e+07 1
10 -18.444229 -12.414879 37.237770 -168.866 208.156 -9.722 5.000e+07 1
11 -19.064840 -14.641931 36.229271 -120.982 124.456 160.415 5.000e+07 1
12 -18.466356 -12.968861 38.467831 -194.353 -72.014 -53.227 5.000e+07 1
13 -14.818216 -18.008677 32.047877 -15.033 94.260 3.953 5.000e+07 1
14 -18.841938 -13.671275 36.146390 -176.638 -7.542 87.005 5.000e+07 1
15 -22.657341 -15.591392 34.879711 5.846 -78.295 107.035 5.000e+07 1
16 -16.619886 -15.933239 34.906157 -54.703 120.691 -156.370 5.000e+07 1
17 -15.670603 -4.647792 33.800729 -83.081 -31.057 61.679 5.000e+07 1
18 -16.078765 -13.867162 34.481588 13.580 -70.976 -166.353 5.000e+07 1
19 -15.471013 -15.266429 40.477271 5.647 210.317 -12.885 5.000e+07 1
20 -21.499692 -15.632931 36.811046 -128.280 -21.880 66.455 5.000e+07 1
21 -24.082955 -13.194386 34.534741 40.836 -154.339 -78.166 5.000e+07 1
22 -21.865768 -17.070663 36.007523 93.230 -82.571 -74.764 5.000e+07 1
23 -15.737692 -18.860658 34.416105 -17.909 23.871 210.477 5.000e+07 1
24 -25.342875 -11.341534 37.046814 227.463 -118.484 128.686 5.000e+07 1
25 -17.288943 -16.839615 35.355817 315.520 -69.565 68.784 5.000e+07 1
26 308.157315 -174.170934 328.617541 -69.844 36.830 -53.988 5.000e+07 1
27 -18.573086 -12.816707 36.446906 -212.807 178.975 66.514 5.000e+07 1
28 -18.142236 -14.209265 36.406288 35.295 212.104 -163.124 5.000e+07 1
29 -18.649329 -13.050616 36.102929 -153.301 22.597 -39.857 5.000e+07 1
30 -18.677950 -14.325784 35.402969 145.188 -234.110 268.777 5.000e+07 1
31 -20.152545 -13.934857 37.422172 57.866 -222.197 13.295 5.000e+07 1
32 -17.138255 -16.995188 35.463616 33.855 161.478 -73.811 5.000e+07 1
33 -19.045637 -14.279973 37.144171 -190.501 33.359 -201.307 5.000e+07 1
34 -17.811814 -12.986148 36.509896 39.525 334.687 276.197 5.000e+07 1
35 -16.904429 -18.764535 32.623611 130.391 -66.064 -131.550 5.000e+07 1
36 -20.445936 -16.182022 35.770008 105.874 -110.120 0.585 5.000e+07 1
37 -99.007298 56.110278 -12.051218 -14.934 -16.946 30.964 5.000e+07 1
38 -19.359070 -16.750441 36.119333 157.973 -167.127 133.998 5.000e+07 1
39 -18.613001 -14.652859 36.312725 102.873 -114.600 13.944 5.000e+07 1
40 -20.294734 -9.396470 35.994025 -237.135 -122.039 -37.336 5.000e+07 1
41 -17.393920 -15.382991 36.459474 13.489 161.460 203.981 5.000e+07 1
42 -16.954703 -15.026614 36.920374 -47.236 182.142 139.463 5.000e+07 1
43 -15.484074 -14.125434 36.554588 113.682 58.347 11.483 5.000e+07 1
44 -19.475175 -14.245572 36.900755 -231.555 -101.845 70.016 5.000e+07 1
45 -19.014195 -18.838196 33.865605 17.999 -65.327 72.924 5.000e+07 1
46 -20.552805 -13.266171 35.881313 190.538 60.003 122.484 5.000e+07 1
47 -11.774983 -19.020013 30.652054 -130.239 88.379 33.333 5.000e+07 1
48 -19.134883 -12.533242 36.805305 -141.775 -257.679 53.318 5.000e+07 1
49 -19.658078 -14.081885 34.451494 49.008 -68.225 -53.114 5.000e+07 1
50 -22.690354 -12.715534 35.005634 -115.488 -64.080 -67.917 5.000e+07 1
51 -17.859558 -16.794905 37.110694 -76.435 -27.473 20.017 5.000e+07 1
52 -18.842620 -20.037023 35.571231 93.183 136.230 -5.688 5.000e+07 1
53 -18.905527 -15.253060 37.023534 130.039 -169.980 29.201 5.000e+07 1
54 -17.226719 -13.452668 38.193254 148.230 -96.524 -45.365 5.000e+07 1
55 -21.488152 -15.595611 36.316692 40.270 -68.150 160.405 5.000e+07 1
56 -17.747154 -17.434602 39.267139 102.545 -15.527 112.926 5.000e+07 1
57 -25.272479 28.912896 37.700840 -57.406 158.332 -21.787 5.000e+07 1
58 -27.013383 -13.667666 33.368049 -76.949 4.096 -66.398 5.000e+07 1
59 -2.494928 -15.560744 35.783862 -280.453 -20.493 49.553 5.000e+07 1
60 -17.533858 -14.009883 36.254923 230.405 41.477 258.057 5.000e+07 1
61 -18.872077 -14.268844 35.694863 -201.625 -5.158 212.545 5.000e+07 1
62 -21.075295 -14.292164 34.413405 134.268 -218.939 -10.256 5.000e+07 1
63 -23.702382 -9.792353 35.765051 -229.359 -10.004 -45.575 5.000e+07 1
64 -18.851469 -14.117111 34.639135 -82.296 -306.923 -91.841 5.000e+07 1
65 -18.732357 -15.655831 36.064787 80.684 -213.533 52.467 5.000e+07 1
66 -18.952438 -14.325016 35.864673 -57.692 -230.686 -173.180 5.000e+07 1
67 -18.145709 -14.525901 36.549450 61.705 -44.692 -60.849 5.000e+07 1
68 -20.178627 -15.410329 34.424588 38.356 -148.062 10.280 5.000e+07 1
69 -19.493085 -11.962510 34.655311 -3.443 20.452 -48.976 5.000e+07 1
70 -17.348347 -14.029284 36.967880 -251.721 -28.195 17.285 5.000e+07 1
71 -18.856117 -16.462796 36.946431 197.221 -30.635 -19.887 5.000e+07 1
72 -19.259020 -13.828931 36.122172 -102.714 64.005 -66.603 5.000e+07 1
73 -41.059483 -32.960841 20.920868 155.314 122.438 114.533 5.000e+07 1
74 -9.596729 -10.499609 34.320389 -270.472 -17.358 95.748 5.000e+07 1
75 -18.719115 -15.489239 37.187122 96.554 -124.472 193.611 5.000e+07 1
76 -20.299420 -11.202281 34.889098 9.423 3.557 -65.205 5.000e+07 1
77 -14.337983 -14.462548 37.443597 -87.968 103.636 67.896 5.000e+07 1
78 -19.384073 -15.092554 34.221871 -123.549 -63.660 -50.856 5.000e+07 1
79 -20.737106 -15.255126 38.795440 -308.717 -29.171 144.745 5.000e+07 1
80 -36.864590 -11.967204 13.065704 -52.130 -0.314 3.367 5.000e+07 1
81 -19.595146 -14.318997 36.412540 -187.496 -176.611 98.050 5.000e+07 1
82 -18.581289 -14.385749 36.506056 -223.081 -347.506 115.628 5.000e+07 1
83 -17.971907 -14.757992 36.901282 223.944 -90.827 108.614 5.000e+07 1
84 -12.682474 -15.675384 37.772228 -84.589 -36.268 65.302 5.000e+07 1
85 -20.200426 -14.700732 34.755076 29.796 -65.314 100.112 5.000e+07 1
86 -20.003103 -15.196149 35.622318 237.216 -20.610 95.563 5.000e+07 1
87 -7.038114 -21.191636 29.858044 -114.033 49.652 19.831 5.000e+07 1
88 -22.276396 -14.448302 33.504267 -49.072 -95.394 80.543 5.000e+07 1
89 -18.584228 -13.635573 35.740694 -102.456 -331.708 -26.120 5.000e+07 1
90 -20.481218 -16.716693 36.165513 203.330 -45.380 -133.397 5.000e+07 1
91 -15.146323 -14.848873 35.916654 -172.344 17.310 216.016 5.000e+07 1
92 -19.960394 -13.835380 35.568612 66.361 80.655 -217.235 5.000e+07 1
93 -21.204181 -10.912712 34.473806 135.481 -230.585 51.736 5.000e+07 1
94 -17.784336 -23.033098 35.832249 133.607 64.015 111.281 5.000e+07 1
95 -18.375385 -16.833675 34.083877 -50.091 -9.484 -118.940 5.000e+07 1
96 -17.818981 -14.037412 36.568532 -215.083 100.162 226.275 5.000e+07 1
97 -20.144296 -13.122438 35.978267 -162.044 -154.134 39.441 5.000e+07 1
98 -18.978142 -19.526576 38.538420 140.593 -168.861 12.829 5.000e+07 1
99 -16.546790 -17.167616 35.485666 120.707 -226.647 -30.349 5.000e+07 1
100 -18.341923 -4.647262 36.527300 -93.693 -25.991 -16.754 5.000e+07 1
101 -17.976574 -12.576951 36.569106 -134.054 65.038 -176.517 5.000e+07 1
102 -19.941138 -16.403007 35.114988 85.591 -141.380 229.243 5.000e+07 1
103 -19.131875 -14.204489 36.852380 -178.673 241.826 158.198 5.000e+07 1
104 -19.936642 -25.665299 31.905162 21.541 87.039 72.413 5.000e+07 1
105 -14.890783 -15.481942 36.178397 -28.493 -61.976 8.221 5.000e+07 1
106 -19.935825 -15.089909 36.530188 78.386 -143.140 -10.584 5.000e+07 1
107 -20.023358 -14.377137 35.975350 279.124 -94.707 146.348 5.000e+07 1
108 -17.074776 -15.544275 34.873500 -38.088 77.114 42.731 5.000e+07 1
109 -19.142854 -11.143175 35.260806 -186.005 110.391 91.030 5.000e+07 1
110 -18.341715 -14.005688 36.646792 -9.274 -238.963 -6.158 5.000e+07 1
111 -17.772218 -13.951295 35.794490 98.549 -79.156 130.715 5.000e+07 1
112 -20.849135 -13.406683 34.994793 -141.980 -159.273 146.454 5.000e+07 1
113 -18.227779 -14.169545 35.243504 -94.451 -181.554 324.151 5.000e+07 1
114 -19.715037 -14.805598 36.333152 -148.337 -25.029 -24.572 5.000e+07 1
115 -17.110991 -20.420239 37.595962 -23.668 73.820 -87.886 5.000e+07 1
116 -22.475699 -17.648175 36.999910 -88.551 33.866 96.479 5.000e+07 1
117 -17.762370 -14.432464 35.873783 164.074 252.022 151.296 5.000e+07 1
118 -16.443322 -14.778664 32.947645 -42.700 -2.334 -69.036 5.000e+07 1
119 -16.354811 -12.065176 39.630158 -86.845 -48.437 -8.691 5.000e+07 1
120 -23.207516 -22.047309 35.218733 -98.146 -214.686 69.306 5.000e+07 1
121 -19.039247 -14.487481 36.161231 -46.059 26.403 -102.634 5.000e+07 1
122 -19.864946 -12.195593 37.377523 22.528 -31.049 -45.623 5.000e+07 1
123 -18.416986 -14.271106 36.332457 -160.057 -119.040 380.775 5.000e+07 1
124 -4.437596 -20.260925 26.999102 -40.629 27.982 83.550 5.000e+07 1
125 -18.339876 -15.780641 35.900222 -26.351 -81.273 -5.358 5.000e+07 1
126 -18.771378 -14.979215 36.110542 136.531 -1.954 89.213 5.000e+07 1
127 -18.254410 -16.779757 34.016332 43.009 4.903 -134.463 5.000e+07 1
128 -19.732926 -16.517969 35.038846 91.678 -45.392 -85.244 5.000e+07 1
129 -19.660825 -11.093555 34.320550 -88.776 -161.191 -79.959 5.000e+07 1
130 -23.159108 -13.506764 33.673384 -158.698 -46.323 58.449 5.000e+07 1
131 -18.462103 -14.866658 36.780120 18.558 28.039 21.936 5.000e+07 1
132 -18.890586 -17.885085 37.176092 124.203 72.829 191.637 5.000e+07 1
