# MOND N-body snapshot at t = 1.000 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 -10.020878 -7.277145 24.461150 -94.605 -83.651 112.371 5.000e+07 1
1 -8.087962 -7.405685 22.798386 -96.935 -74.716 -19.428 5.000e+07 1
2 -12.463325 -16.296867 23.291673 -10.727 57.094 -25.956 5.000e+07 1
3 -7.605518 2.339429 26.365026 -1.341 -82.124 36.116 5.000e+07 1
4 -8.561288 -6.728563 21.063595 58.237 162.446 -26.434 5.000e+07 1
5 -11.770535 -0.834523 25.224411 -38.624 105.137 127.654 5.000e+07 1
6 -7.456883 -10.438357 19.802682 80.545 -1.843 2.352 5.000e+07 1
7 -13.797075 -11.585111 20.314530 74.309 -57.709 -10.665 5.000e+07 1
8 -14.079306 32.640296 18.322705 -5.424 77.268 -10.154 5.000e+07 1
9 21.340311 -14.867516 8.819601 51.067 -2.683 -9.761 5.000e+07 1
10 -9.065790 -9.383398 22.596527 -149.127 -87.133 5.400 5.000e+07 1
11 -11.603356 -8.673306 22.385447 77.399 -46.054 122.609 5.000e+07 1
12 -10.172427 -9.042454 23.835971 -16.416 133.663 151.598 5.000e+07 1
13 -17.064833 -5.690095 19.051001 -13.451 -94.141 -40.432 5.000e+07 1
14 -9.706994 -8.259887 23.020594 -124.693 1.562 -51.316 5.000e+07 1
15 -8.022103 -9.843307 21.779185 119.491 46.290 44.280 5.000e+07 1
16 -7.819464 -7.971206 23.752724 -39.778 96.575 -147.296 5.000e+07 1
17 -0.871203 -4.447717 18.805260 -84.083 -12.130 91.896 5.000e+07 1
18 -10.956167 -7.208822 19.788911 149.730 -205.328 32.944 5.000e+07 1
19 -10.516487 -14.496855 23.715737 113.155 -160.325 -105.696 5.000e+07 1
20 -8.379579 -8.984200 22.204345 -66.748 -209.805 -33.222 5.000e+07 1
21 -7.216747 -7.772020 23.960893 -109.291 234.403 34.055 5.000e+07 1
22 -9.673507 -7.483794 22.928411 -104.357 -226.673 -105.829 5.000e+07 1
23 -9.380359 -10.000399 19.847515 -38.818 -125.053 282.889 5.000e+07 1
24 -18.352955 -22.332702 21.182109 -76.373 -90.203 -43.763 5.000e+07 1
25 -6.618727 -5.642243 21.595576 -169.679 123.973 76.432 5.000e+07 1
26 342.776942 -192.679370 354.192769 -43.396 23.534 -29.541 5.000e+07 1
27 -10.477133 -8.478129 22.471151 -173.157 -131.760 179.417 5.000e+07 1
28 -11.666019 -10.517647 23.496268 197.072 -128.286 157.690 5.000e+07 1
29 -13.161914 -7.460271 20.623639 -110.395 -14.968 22.669 5.000e+07 1
30 -8.371102 -8.511014 25.580020 56.888 -14.191 100.417 5.000e+07 1
31 -12.651642 -8.548949 23.739650 -163.993 -79.103 20.238 5.000e+07 1
32 -10.355721 -10.879978 21.372139 113.795 114.764 251.669 5.000e+07 1
33 -10.384535 -8.590281 21.763057 134.620 146.477 223.904 5.000e+07 1
34 -16.671644 -3.180871 29.883544 -36.075 -10.543 -5.081 5.000e+07 1
35 -5.758246 -14.393709 23.259080 10.693 155.974 121.195 5.000e+07 1
36 -8.529722 -8.354994 21.935152 8.687 169.956 -205.428 5.000e+07 1
37 -53.277426 33.393713 -8.074084 -144.176 102.106 -52.641 5.000e+07 1
38 -9.020928 -8.728627 22.862937 -104.835 255.577 151.438 5.000e+07 1
39 -9.186816 -10.217333 21.159967 31.404 125.853 95.427 5.000e+07 1
40 -4.334188 -6.885528 22.044973 -84.871 164.960 -57.508 5.000e+07 1
41 -8.400143 -11.033714 22.217640 72.008 -57.195 6.267 5.000e+07 1
42 -10.543316 -7.010889 21.911871 -115.646 -145.798 -24.437 5.000e+07 1
43 -10.064293 -12.028299 22.730365 208.040 -75.723 62.539 5.000e+07 1
44 -10.571027 -10.046419 22.131927 70.177 74.428 54.473 5.000e+07 1
45 -6.899655 -9.280810 21.624468 -203.726 228.250 -75.169 5.000e+07 1
46 -10.870479 -9.428576 22.277257 -37.597 241.964 43.422 5.000e+07 1
47 -10.303934 -0.880915 28.460803 -21.921 118.200 77.205 5.000e+07 1
48 -4.535194 -8.565109 22.337782 -108.775 80.539 -14.967 5.000e+07 1
49 -9.566616 -9.757999 22.402365 112.904 -203.040 -44.158 5.000e+07 1
50 -8.461512 -7.703701 21.564358 -8.424 99.889 148.841 5.000e+07 1
51 -8.285026 -9.256592 21.938394 148.466 -131.974 68.330 5.000e+07 1
52 -8.314748 -6.962026 21.532346 -180.834 3.946 106.831 5.000e+07 1
53 -9.689477 -9.100736 22.229558 25.114 102.247 -178.954 5.000e+07 1
54 -10.179347 -8.179964 24.390260 48.287 163.064 -18.794 5.000e+07 1
55 -9.980454 -11.466665 20.889363 105.340 -103.358 -145.842 5.000e+07 1
56 -7.578689 -7.323698 23.683715 -189.383 0.619 -44.147 5.000e+07 1
57 -15.199615 -54.524003 -27.730036 -2.747 -17.273 52.116 5.000e+07 1
58 -13.032893 -5.198738 28.059076 38.537 -80.986 -55.435 5.000e+07 1
59 -30.198363 -21.233364 25.717429 192.155 131.966 -4.219 5.000e+07 1
60 -15.695884 -11.257925 25.747853 -42.736 -16.870 -2.842 5.000e+07 1
61 -9.184683 -8.626786 22.578882 -199.513 49.432 193.062 5.000e+07 1
62 -6.900218 -7.386361 21.617192 -231.141 47.351 75.435 5.000e+07 1
63 -17.469782 -15.007489 21.044775 -10.691 -130.757 49.506 5.000e+07 1
64 -12.245102 -8.546082 20.703006 -173.050 -70.658 159.650 5.000e+07 1
65 -13.308601 -7.229658 23.500392 -45.010 -234.542 153.763 5.000e+07 1
66 -9.468446 -8.741449 21.850287 -78.577 -43.951 128.044 5.000e+07 1
67 -10.982511 -8.304479 22.094679 -154.181 -196.090 107.363 5.000e+07 1
68 -11.996816 -9.870491 21.783946 -3.947 -289.475 50.135 5.000e+07 1
69 -10.540562 -9.447051 23.791828 -9.389 -61.007 168.303 5.000e+07 1
70 -13.091330 -8.012730 22.481543 -74.798 -6.143 109.021 5.000e+07 1
71 -10.680812 -9.727406 23.474546 140.847 -39.331 207.302 5.000e+07 1
72 -9.861306 -8.801317 22.888786 258.689 66.909 197.840 5.000e+07 1
73 -58.052064 -46.285620 -1.110257 -76.994 -59.201 -20.737 5.000e+07 1
74 -15.900884 -25.882233 22.432836 45.460 13.014 47.185 5.000e+07 1
75 -9.239539 -8.494603 22.487503 -177.879 42.617 21.776 5.000e+07 1
76 -9.458091 -8.879434 21.794894 234.423 96.237 196.863 5.000e+07 1
77 -11.037681 -7.919369 22.361733 -16.882 -311.691 74.599 5.000e+07 1
78 -10.650374 -10.253508 24.194372 106.751 -11.911 284.123 5.000e+07 1
79 -9.321011 -7.045243 7.613698 -7.104 -63.513 48.206 5.000e+07 1
80 -27.731282 -8.864176 14.519606 18.565 -9.427 -7.156 5.000e+07 1
81 -10.250812 -9.560616 22.235230 39.299 -19.077 55.865 5.000e+07 1
82 -9.883947 -9.336571 21.954392 152.564 -16.087 313.680 5.000e+07 1
83 -9.212717 -9.178093 23.070185 -135.443 -45.103 70.428 5.000e+07 1
84 -11.751701 -4.957058 17.711200 71.650 -27.021 105.382 5.000e+07 1
85 -10.951360 -8.779256 22.353469 189.371 -229.829 -110.321 5.000e+07 1
86 -10.417883 -11.881121 22.360613 124.431 -5.499 48.191 5.000e+07 1
87 -19.774718 -4.506504 29.848155 -26.661 -5.306 2.097 5.000e+07 1
88 -10.558950 -8.967682 23.666252 -101.723 -134.280 51.291 5.000e+07 1
89 -9.742530 -8.830403 22.312000 -121.061 -242.569 214.500 5.000e+07 1
90 -8.146396 -8.981228 22.676195 -110.099 126.053 -85.532 5.000e+07 1
91 -9.630996 -3.535387 22.902307 5.959 -47.030 100.364 5.000e+07 1
92 -11.084442 -9.064782 20.860032 -49.013 -11.875 73.988 5.000e+07 1
93 -8.000516 -9.718621 22.521151 29.080 -46.903 -54.095 5.000e+07 1
94 -7.498319 -13.561509 23.289270 142.272 94.208 34.158 5.000e+07 1
95 -9.329915 -10.079082 23.524661 -195.486 133.709 83.180 5.000e+07 1
96 -9.097909 -8.706986 22.266028 31.940 124.542 68.227 5.000e+07 1
97 -11.276360 -6.471935 23.112221 -246.470 -85.434 101.386 5.000e+07 1
98 -8.606737 -15.754947 20.590306 39.685 -45.512 -109.188 5.000e+07 1
99 -10.489146 -5.837245 20.914407 -20.304 147.632 -145.720 5.000e+07 1
100 -6.386740 -8.087243 21.969159 97.330 190.055 122.820 5.000e+07 1
101 -10.316973 -10.151401 22.276777 -10.805 -21.892 -127.893 5.000e+07 1
102 -8.626184 -8.262360 24.288186 44.574 203.729 98.988 5.000e+07 1
103 -10.941471 -8.001690 20.592596 -74.953 22.164 7.892 5.000e+07 1
104 -10.558639 -2.309871 26.949145 -85.255 77.521 79.877 5.000e+07 1
105 -11.486241 -9.806877 22.922743 32.377 214.859 -88.814 5.000e+07 1
106 -12.265766 -9.350461 22.233634 36.331 -211.960 -55.921 5.000e+07 1
107 -11.595613 -8.430410 23.656748 -278.687 -32.004 -32.878 5.000e+07 1
108 -10.958568 -6.999169 20.807928 98.647 -101.768 88.377 5.000e+07 1
109 -7.552476 -5.122960 22.060735 -79.703 0.628 91.643 5.000e+07 1
110 -9.420356 -7.614294 22.829514 61.309 -176.799 -77.302 5.000e+07 1
111 -7.875993 -9.126744 21.980293 -20.861 148.215 -112.682 5.000e+07 1
112 -7.899706 -5.542882 21.231895 -143.931 -38.362 -100.680 5.000e+07 1
113 -9.190584 -9.961304 21.941587 242.556 51.988 148.582 5.000e+07 1
114 -9.340632 -9.135894 23.018765 202.022 -49.601 -58.242 5.000e+07 1
115 -12.171215 -9.644815 22.876494 -118.898 -170.581 198.874 5.000e+07 1
116 -11.457528 -6.924413 22.065621 217.734 -61.124 69.768 5.000e+07 1
117 -9.923624 -9.053553 22.446970 49.548 344.285 68.908 5.000e+07 1
118 -10.675822 -7.294448 20.586521 4.481 -79.927 79.283 5.000e+07 1
119 -9.017544 -4.910855 25.382701 -3.756 150.617 63.844 5.000e+07 1
120 -10.210767 -8.924015 22.749266 -355.780 -288.372 -33.609 5.000e+07 1
121 -9.131902 -10.715925 22.837339 195.957 50.337 13.317 5.000e+07 1
122 -12.614108 -8.973326 22.313656 95.984 -77.127 -16.540 5.000e+07 1
123 -9.446511 -8.555443 22.162583 -240.448 124.551 280.565 5.000e+07 1
124 0.189952 -5.690271 12.976163 -95.859 -4.431 58.401 5.000e+07 1
