# MOND N-body snapshot at t = 0.600 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 -0.744287 6.979807 14.759684 192.388 -33.993 107.646 5.000e+07 1
1 -3.710523 14.800886 18.690439 7.768 43.213 55.372 5.000e+07 1
2 -0.653063 64.067590 2.354217 1.671 6.735 39.371 5.000e+07 1
3 0.724368 13.666393 15.040978 -255.277 41.945 -94.863 5.000e+07 1
4 0.879987 11.694812 17.131272 -94.770 75.979 168.588 5.000e+07 1
5 1.605041 12.679632 15.610971 168.346 -68.847 85.761 5.000e+07 1
6 -8.811137 14.361704 9.653877 -3.037 9.069 -42.558 5.000e+07 1
7 4.682099 12.211032 8.098114 141.870 59.369 -187.431 5.000e+07 1
8 8.623477 11.795650 14.951307 32.420 255.970 78.569 5.000e+07 1
9 0.606382 10.998713 14.610041 75.700 -207.434 39.333 5.000e+07 1
10 1.365378 11.296024 15.328298 124.767 -165.365 -269.999 5.000e+07 1
11 4.469718 13.208338 13.489587 -76.778 95.261 -30.773 5.000e+07 1
12 2.768704 12.582693 13.970723 133.751 45.080 -1.602 5.000e+07 1
13 6.030238 8.215930 15.938731 141.412 97.956 4.849 5.000e+07 1
14 48.681728 24.029073 10.647880 1.206 37.382 36.010 5.000e+07 1
15 4.286746 12.229826 13.106185 102.159 164.413 5.634 5.000e+07 1
16 0.405492 12.539272 15.535716 -16.560 104.626 -235.965 5.000e+07 1
17 0.256594 18.932819 25.376155 8.867 -74.662 -39.219 5.000e+07 1
18 1.057054 12.093903 14.386593 -11.323 -71.862 -62.829 5.000e+07 1
19 1.712992 10.312059 16.212807 -2.747 24.717 -88.423 5.000e+07 1
20 -3.093002 12.923424 14.506495 -166.006 56.489 143.089 5.000e+07 1
21 2.433193 13.369108 15.128461 152.348 245.268 53.450 5.000e+07 1
22 2.694505 13.982558 13.672676 -52.426 -8.728 4.203 5.000e+07 1
23 1.466202 12.360852 16.255896 289.587 116.963 158.034 5.000e+07 1
24 2.897128 12.271106 15.126995 2.657 253.291 -38.851 5.000e+07 1
25 1.092942 14.831977 14.946875 34.081 175.678 144.395 5.000e+07 1
26 4.964448 17.696829 -1.507155 -32.344 2.550 227.313 5.000e+07 1
27 1.385436 12.802756 15.635610 7.581 -170.737 -75.521 5.000e+07 1
28 -0.212675 13.893126 15.258677 30.511 -11.372 -264.348 5.000e+07 1
29 -2.043794 11.015720 15.377904 60.604 -76.627 18.424 5.000e+07 1
30 3.226145 13.252916 13.263366 32.231 65.394 89.258 5.000e+07 1
31 1.277869 12.929282 15.043135 2.846 362.582 -74.036 5.000e+07 1
32 2.389137 13.986605 16.749627 -92.098 -96.995 3.703 5.000e+07 1
33 5.220544 10.360536 14.905966 125.814 149.536 48.880 5.000e+07 1
34 2.201774 11.757518 15.441799 -29.225 86.892 58.619 5.000e+07 1
35 1.743843 12.880832 14.938180 -244.216 -167.669 187.003 5.000e+07 1
36 -0.764180 16.148530 15.776439 29.679 76.422 -18.682 5.000e+07 1
37 9.648234 20.517372 17.598342 137.159 147.308 175.438 5.000e+07 1
38 0.689630 11.861117 16.458331 -73.663 223.608 232.198 5.000e+07 1
39 8.178301 6.972046 14.907382 121.090 150.832 -20.234 5.000e+07 1
40 0.374069 13.179671 15.427302 29.799 -156.454 -103.457 5.000e+07 1
41 3.062161 12.448676 18.487491 -189.951 106.393 114.120 5.000e+07 1
42 3.307737 11.970815 15.347864 266.217 184.788 -1.641 5.000e+07 1
43 3.917021 9.824878 14.618370 -486.750 -109.383 -34.359 5.000e+07 1
44 7.892357 25.839862 5.608441 -43.042 -101.925 202.975 5.000e+07 1
45 0.112033 9.507638 13.757190 165.653 43.601 -58.795 5.000e+07 1
46 2.102373 12.566953 14.531090 68.526 107.033 244.507 5.000e+07 1
47 0.887666 11.464074 15.196850 129.864 -127.639 225.373 5.000e+07 1
48 2.567267 13.206695 14.946811 -61.275 220.845 135.494 5.000e+07 1
49 1.548848 12.142701 14.530012 -45.664 46.966 120.845 5.000e+07 1
50 1.185763 12.563891 15.582482 -148.133 23.299 -111.933 5.000e+07 1
