# MOND N-body snapshot at t = 0.800 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
78 3.116136 15.759827 21.540903 -70.456 213.341 -17.448 5.000e+07 1
79 1.711399 16.413260 21.503007 53.282 -179.708 151.698 5.000e+07 1
80 0.765113 18.212959 21.318842 220.659 56.247 95.272 5.000e+07 1
81 4.116474 18.240519 20.934694 93.087 198.790 -216.847 5.000e+07 1
82 2.361697 17.403797 21.132561 127.470 127.915 104.411 5.000e+07 1
83 4.324667 19.727240 16.645918 -90.323 -2.681 187.000 5.000e+07 1
84 3.618748 17.439443 20.918069 23.228 245.258 36.192 5.000e+07 1
85 1.626885 16.215467 20.163764 273.689 -69.158 -109.106 5.000e+07 1
86 11.996010 25.092571 21.220478 -61.987 109.672 -24.190 5.000e+07 1
87 5.879714 21.308587 16.449073 -76.738 -114.761 189.594 5.000e+07 1
88 3.124084 18.516909 20.295279 -135.885 219.232 113.798 5.000e+07 1
89 1.723035 21.970305 22.117586 -177.985 235.364 30.679 5.000e+07 1
90 14.290941 24.530660 23.037753 25.465 66.306 82.324 5.000e+07 1
91 -0.963591 17.006681 21.494938 138.179 108.872 88.702 5.000e+07 1
92 5.800523 20.098782 21.924701 -117.592 188.984 -60.278 5.000e+07 1
93 2.247107 19.724499 22.266335 -171.648 147.141 7.150 5.000e+07 1
94 3.313787 18.672835 19.090064 -193.534 182.282 26.683 5.000e+07 1
95 2.658644 24.997868 17.147792 -72.978 23.711 94.078 5.000e+07 1
96 5.508748 17.109664 22.065058 45.165 -25.941 -77.855 5.000e+07 1
97 -2.353196 24.370383 20.819571 35.730 -94.950 -30.519 5.000e+07 1
98 2.915953 17.123677 21.530798 69.655 2.505 35.284 5.000e+07 1
99 8.098535 19.733862 16.110745 27.561 79.265 -22.242 5.000e+07 1
100 7.110397 17.683467 25.338633 -78.235 158.471 -9.950 5.000e+07 1
101 1.995167 20.343990 23.648105 -131.736 -114.159 -163.848 5.000e+07 1
102 75.717681 -354.034257 27.059095 -12.918 62.871 9.475 5.000e+07 1
103 6.615437 18.616681 18.842841 -34.752 100.469 -4.565 5.000e+07 1
104 3.123394 18.193694 21.125609 59.724 -289.750 184.944 5.000e+07 1
105 -4.287175 9.243657 17.469438 99.628 106.365 -29.049 5.000e+07 1
106 -8.338362 36.378645 26.063949 34.861 8.092 1.297 5.000e+07 1
107 2.868773 21.451361 19.282927 -235.116 -93.557 77.382 5.000e+07 1
108 3.889276 25.064249 25.822947 -23.148 23.296 89.685 5.000e+07 1
