# MOND N-body snapshot at t = 1.401 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 -2.958034 26.127779 32.683018 144.157 -109.723 175.224 5.000e+07 1
1 -2.147825 26.282646 31.675675 98.804 283.983 -275.538 5.000e+07 1
2 -3.164033 24.658891 31.347395 -15.144 -19.636 -2.445 5.000e+07 1
3 -5.289968 28.083915 33.196321 -124.112 -31.146 100.484 5.000e+07 1
4 -4.969107 27.703836 32.689412 64.277 38.154 59.310 5.000e+07 1
5 -2.779191 27.221437 32.822268 -152.772 221.216 292.825 5.000e+07 1
6 2.685653 24.181802 34.350175 -48.258 209.878 92.483 5.000e+07 1
7 4.436245 27.243143 29.462016 139.621 154.685 -129.434 5.000e+07 1
8 -26.734527 18.425579 21.875252 37.628 -7.459 56.697 5.000e+07 1
9 -0.051474 21.268965 34.522747 -58.002 213.542 45.919 5.000e+07 1
10 -2.428352 37.414280 36.582900 -111.603 -58.173 -17.658 5.000e+07 1
11 -3.374427 25.841988 32.849193 -61.226 -338.001 -162.069 5.000e+07 1
12 -1.515617 26.047046 33.373032 146.531 128.574 124.202 5.000e+07 1
13 -2.417302 25.418202 31.683962 263.719 58.365 75.727 5.000e+07 1
14 5.874319 22.106382 31.229748 119.135 215.536 76.484 5.000e+07 1
15 -2.014996 22.805006 33.248989 233.775 208.625 25.021 5.000e+07 1
16 -1.484174 26.481268 31.697438 -91.294 325.041 137.162 5.000e+07 1
17 2.621186 28.380923 35.227427 -106.316 98.089 -20.781 5.000e+07 1
18 -4.245296 25.404430 33.412017 100.787 -37.166 37.301 5.000e+07 1
19 -3.715002 26.612522 31.888165 290.379 -37.401 12.189 5.000e+07 1
20 -4.940145 26.406487 32.883893 17.472 -89.881 -164.488 5.000e+07 1
21 -3.228512 26.612350 32.486789 292.343 -62.839 -20.681 5.000e+07 1
22 -6.298880 24.767865 30.270075 134.535 -3.903 7.765 5.000e+07 1
23 -2.219438 20.899404 32.723861 58.562 -15.881 80.046 5.000e+07 1
24 0.777924 28.189139 31.525108 -108.293 12.342 -48.644 5.000e+07 1
25 -1.486344 25.660301 33.227525 -62.007 -81.912 -84.500 5.000e+07 1
26 -3.039538 24.253203 31.359822 183.764 -14.355 12.520 5.000e+07 1
27 0.023122 16.506081 37.348400 47.497 -150.061 58.116 5.000e+07 1
28 -12.330956 31.891308 35.792161 10.118 -87.999 46.365 5.000e+07 1
29 -12.852029 20.495493 32.410951 94.560 -14.255 19.740 5.000e+07 1
30 -2.928204 25.494065 32.042533 -21.112 147.808 124.937 5.000e+07 1
31 2.947622 25.629517 31.647356 -119.299 131.868 14.490 5.000e+07 1
32 -2.096956 28.825302 32.318647 -158.028 20.978 -94.920 5.000e+07 1
33 -6.432168 25.536367 33.026033 -127.779 -162.245 102.562 5.000e+07 1
34 -1.223951 27.120100 31.661631 -40.863 -56.145 63.790 5.000e+07 1
35 2.783325 24.815531 30.851642 -75.248 47.249 -43.295 5.000e+07 1
36 1.533119 25.328979 27.531870 2.788 17.298 165.530 5.000e+07 1
37 -0.507331 30.147044 31.919613 -68.919 8.497 34.925 5.000e+07 1
38 -3.055316 25.985659 34.609500 238.086 240.805 151.244 5.000e+07 1
39 1.355954 28.896737 29.877844 -68.866 111.685 43.816 5.000e+07 1
40 -4.210446 24.796967 31.386751 33.110 -154.103 -74.224 5.000e+07 1
